koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,label
CONFIRMED,30.8639476,8.864,256.5,3.01,743.0,72.05,63.0,5977.0,4.08,1.571,1
CONFIRMED,2.403640701,1.4012,74.9,1.24,1489.0,1164.85,16.3,5881.0,4.315,1.171,1
FALSE POSITIVE,2.90060781,2.563,124.8,1.58,1645.0,1727.31,20.6,6547.0,4.241,1.371,0
CONFIRMED,4.51436096,3.0083,230.7,1.84,1231.0,543.73,28.4,5940.0,4.306,1.215,1
CONFIRMED,3.77359871,2.7282,176.0,1.29,1270.0,614.52,25.6,6224.0,4.404,0.969,1
CONFIRMED,8.18182189,2.4566,299.6,1.77,981.0,218.9,27.4,6224.0,4.404,0.969,1
CONFIRMED,13.32389352,3.2208,781.3,1.26,378.0,4.83,25.9,3751.0,4.813,0.45,1
CONFIRMED,4.919584997,4.1988,425.7,2.86,1312.0,702.13,132.0,6236.0,4.246,1.378,1
CONFIRMED,11.41911886,5.135,509.2,3.32,921.0,170.33,23.7,6311.0,4.398,1.172,1
CONFIRMED,11.36113254,4.1886,569.5,2.6,869.0,134.97,57.0,6244.0,4.46,1.009,1
FALSE POSITIVE,1.3866358,4.77,70.1,0.72,1503.0,1205.94,6.8,5693.0,4.551,0.856,0
CONFIRMED,14.53410833,3.3094,510.6,1.36,420.0,7.34,32.5,3957.0,4.693,0.553,1
CONFIRMED,33.0063185,7.118,278.1,3.13,778.0,86.38,38.2,5968.0,3.972,1.857,1
CONFIRMED,11.13127159,4.2372,211.2,2.06,952.0,194.31,36.8,5800.0,4.202,1.435,1
FALSE POSITIVE,3.47143963,3.663,99.8,1.19,1358.0,805.05,27.5,6341.0,4.409,1.111,0
CONFIRMED,29.6193891,4.9595,314.7,1.74,580.0,26.79,42.5,5618.0,4.401,0.996,1
CONFIRMED,8.925079516,2.6766,977.5,2.36,628.0,36.89,135.8,4728.0,4.628,0.693,1
CONFIRMED,8.0922105,5.7696,65.3,1.44,1089.0,331.65,37.5,5774.0,4.106,1.395,1
FALSE POSITIVE,3.117087797,3.06941,12152.1,88.51,1842.0,2725.12,441.7,6338.0,3.973,2.046,0
CONFIRMED,22.687155,5.4921,960.0,3.2,653.0,42.95,122.8,5657.0,4.364,1.046,1
FALSE POSITIVE,0.937406378,1.9515,5079.6,7.09,1659.0,1790.11,138.9,5480.0,4.529,0.843,0
FALSE POSITIVE,0.668483615,2.0909,2899.8,29.53,1832.0,2642.17,161.2,5546.0,4.575,0.81,0
FALSE POSITIVE,4.429633087,3.0257,6120.1,32.12,950.0,192.62,166.3,5344.0,4.545,0.809,0
FALSE POSITIVE,1.544927524,1.0134,138.5,1.39,1824.0,2606.96,25.4,6309.0,4.34,1.132,0
CONFIRMED,4.48758768,2.874,112.0,1.37,1305.0,684.07,25.9,6060.0,4.227,1.257,1
FALSE POSITIVE,0.323021692,2.3442,47100.0,46.4,2545.0,9913.7,520.6,5458.0,4.381,0.972,0
FALSE POSITIVE,4.70818628,3.278,56545.0,42.99,1046.0,282.41,24.7,5868.0,4.53,0.894,0
FALSE POSITIVE,14.405857436,5.48509,30430.6,23.42,888.0,146.95,2294.1,5945.0,4.196,1.346,0
FALSE POSITIVE,7.702374154,3.8459,18377.0,225.25,825.0,109.38,157.2,5598.0,4.565,0.83,0
CONFIRMED,16.56062577,2.611,700.8,2.94,701.0,57.28,30.8,5818.0,4.436,0.855,1
CONFIRMED,15.74958583,4.6672,659.5,2.77,777.0,86.18,42.6,6191.0,4.454,1.025,1
CONFIRMED,37.8145252,9.109,412.5,3.04,626.0,36.25,57.9,5988.0,4.278,1.314,1
CONFIRMED,12.64504291,9.117,200.4,1.55,741.0,71.28,32.7,5607.0,4.447,0.886,1
CONFIRMED,21.5262958,8.392,190.0,1.36,621.0,35.03,23.4,5607.0,4.447,0.886,1
CONFIRMED,33.8845825,6.538,224.1,1.74,533.0,19.13,17.2,5607.0,4.447,0.886,1
CONFIRMED,6.40087137,2.5561,133.6,1.91,1109.0,357.44,24.4,5426.0,4.107,1.421,1
CONFIRMED,30.1599411,7.874,175.9,4.54,836.0,115.69,32.3,5010.0,3.62,3.051,1
CONFIRMED,51.0771048,11.233,141.5,3.66,702.0,57.28,24.1,5010.0,3.62,3.051,1
FALSE POSITIVE,4.2856756,4.059,31.4,2.13,1790.0,2429.13,8.3,5055.0,3.443,3.733,0
FALSE POSITIVE,7.388833611,5.62857,13063.5,10.66,877.0,139.94,1509.3,5845.0,4.558,0.838,0
FALSE POSITIVE,2.698021895,23.192,6721.2,52.51,1582.0,1481.76,647.1,6568.0,4.36,1.211,0
CONFIRMED,117.93110803,5.8796,8506.6,10.36,418.0,7.2,212.5,6392.0,4.425,1.072,1
FALSE POSITIVE,4.887806806,2.4078,4676.0,5.71,918.0,167.54,116.1,5284.0,4.523,0.812,0
FALSE POSITIVE,11.973605044,4.3117,3822.9,38.2,820.0,106.83,172.9,6146.0,4.497,0.943,0
FALSE POSITIVE,1.231364189,5.8574,1097.1,5.39,1707.0,2005.15,229.7,5897.0,4.429,0.891,0
FALSE POSITIVE,2.102416517,1.7684,1502.5,29.29,1435.0,1003.06,94.3,5999.0,4.494,0.959,0
FALSE POSITIVE,11.703109303,2.0467,4201.0,37.3,811.0,102.47,126.6,6014.0,4.494,0.958,0
FALSE POSITIVE,13.73808249,3.354,660.7,3.84,912.0,163.52,68.4,6375.0,4.292,1.178,0
FALSE POSITIVE,16.66216657,3.8762,27442.0,843.45,834.0,114.41,114.5,6440.0,4.38,1.169,0
FALSE POSITIVE,0.752159702,2.3621,3425.0,43.73,2224.0,5767.22,291.1,5916.0,4.296,1.175,0
FALSE POSITIVE,4.81886153,6.223,1318.6,2.96,803.0,98.29,86.3,5030.0,4.658,0.651,0
CONFIRMED,125.86540191,9.0191,12389.5,12.37,394.0,5.71,544.7,5933.0,4.342,1.115,1
CONFIRMED,34.5439452,3.482,429.8,2.67,607.0,32.02,23.4,5933.0,4.342,1.115,1
CONFIRMED,10.74241765,6.0633,415.2,3.06,1008.0,243.94,95.4,5761.0,4.091,1.518,1
FALSE POSITIVE,4.02378908,3.237,32.1,2.24,2504.0,9293.19,36.1,7516.0,3.651,3.685,0
FALSE POSITIVE,0.312941621,2.0646,35262.0,58.02,3151.0,23300.36,413.9,6286.0,4.312,1.188,0
CONFIRMED,2.495780169,4.2721,25070.0,15.75,1408.0,929.47,171.4,6039.0,4.426,0.992,1
FALSE POSITIVE,8.428090255,1.881,11355.5,517.43,817.0,105.54,183.0,5761.0,4.573,0.805,0
FALSE POSITIVE,8.344104633,1.8014,9695.0,836.31,785.0,89.55,89.7,5447.0,4.559,0.838,0
FALSE POSITIVE,137.75960504,9.1713,83298.0,49.52,396.0,5.81,885.9,5323.0,4.085,1.452,0
FALSE POSITIVE,2.155278342,2.1064,20739.0,16.89,1272.0,620.67,142.7,5665.0,4.568,0.82,0
FALSE POSITIVE,3.661326482,2.5714,17846.0,12.07,1023.0,258.6,424.6,5319.0,4.501,0.798,0
CONFIRMED,4.75400072,2.5394,748.7,2.0,775.0,85.23,141.4,4728.0,4.628,0.693,1
FALSE POSITIVE,165.739861,24.9393,7343.4,57.54,692.0,54.1,527.8,5019.0,2.99,6.836,0
FALSE POSITIVE,9.08937826,6.255,779.8,5.35,1104.0,351.45,72.7,6739.0,4.332,1.275,0
CONFIRMED,3.234699282,3.59385,10558.7,13.06,1356.0,797.62,3003.8,5640.0,4.236,1.291,1
CONFIRMED,31.99552485,4.2817,1376.1,4.12,582.0,27.17,128.0,5657.0,4.364,1.046,1
FALSE POSITIVE,1.577800747,2.1626,697.7,31.24,1513.0,1236.23,79.6,6089.0,4.566,0.802,0
FALSE POSITIVE,2.380862632,4.20416,32634.0,21.65,1480.0,1133.0,2590.6,5821.0,4.297,1.129,0
FALSE POSITIVE,1.752567456,5.4993,607.3,26.56,1502.0,1202.54,92.2,5739.0,4.433,0.996,0
CONFIRMED,51.92920654,5.2637,3425.8,8.49,574.0,25.6,81.8,5671.0,4.128,1.442,1
CONFIRMED,5.644914154,2.2599,1397.9,2.66,744.0,72.38,63.9,4769.0,4.622,0.714,1
CONFIRMED,3.105507835,1.7458,904.6,2.68,980.0,217.91,178.6,4989.0,4.585,0.791,1
FALSE POSITIVE,1.336109338,1.7419,2204.3,35.19,1727.0,2106.49,150.0,6119.0,4.46,0.967,0
CONFIRMED,5.841636615,1.8734,1336.3,1.38,446.0,9.38,41.1,3526.0,4.866,0.383,1
CONFIRMED,19.85029495,2.8407,1607.5,1.52,297.0,1.83,34.4,3526.0,4.866,0.383,1
CONFIRMED,15.27443889,6.0765,206.7,2.17,896.0,152.62,40.3,5761.0,4.091,1.518,1
FALSE POSITIVE,22.34293693,7.0813,2691.1,2.92,399.0,6.01,35.3,4260.0,4.663,0.58,0
FALSE POSITIVE,119.40817159,9.3537,18563.3,16.26,328.0,2.72,508.4,5316.0,4.477,0.872,0
FALSE POSITIVE,1.171536413,1.5878,1132.7,7.12,2387.0,7673.2,67.0,7021.0,4.275,1.485,0
FALSE POSITIVE,0.973547911,2.2858,435.7,11.52,1814.0,2556.6,38.7,6084.0,4.542,0.863,0
FALSE POSITIVE,3.053563251,3.2551,508.4,21.79,1171.0,444.16,50.4,5764.0,4.548,0.863,0
FALSE POSITIVE,1.031096352,2.781,265.4,2.36,2020.0,3954.46,37.8,6371.0,4.426,1.072,0
CONFIRMED,11.00817635,2.013,1462.5,2.15,488.0,13.39,42.1,4141.0,4.684,0.582,1
CONFIRMED,92.7495777,5.506,1105.1,1.87,240.0,0.78,18.0,4141.0,4.684,0.582,1
CONFIRMED,52.5008645,14.9066,946.7,12.41,812.0,102.94,116.2,4976.0,3.331,4.157,1
CONFIRMED,0.63133171,1.1487,434.5,1.2,1322.0,726.72,95.8,4441.0,4.71,0.53,1
CONFIRMED,12.69905011,2.9899,797.4,2.62,686.0,52.55,30.4,5291.0,4.489,0.882,1
CONFIRMED,8.74292005,2.6277,779.5,1.92,643.0,40.33,30.7,4769.0,4.622,0.714,1
CONFIRMED,3.64830183,1.9985,371.7,1.33,860.0,129.44,19.9,4769.0,4.622,0.714,1
CONFIRMED,2.345863002,1.6795,316.7,1.23,997.0,233.38,19.6,4769.0,4.622,0.714,1
CONFIRMED,37.1011418,5.5556,1357.5,3.19,532.0,18.95,55.2,5986.0,4.527,0.85,1
CONFIRMED,10.8644095,1.853,748.7,1.14,363.0,4.09,16.8,3526.0,4.866,0.383,1
CONFIRMED,124.4197175,3.7197,4107.0,10.3,416.0,7.07,39.9,5066.0,3.974,1.659,1
CONFIRMED,1.219568047,1.5681,494.9,1.51,1252.0,578.96,65.9,4838.0,4.625,0.701,1
CONFIRMED,2.05388477,2.1635,546.7,2.74,1523.0,1271.11,50.0,5632.0,4.282,1.176,1
CONFIRMED,38.86848956,6.0573,1004.9,2.81,509.0,15.89,73.4,5618.0,4.46,0.897,1
CONFIRMED,35.7353616,8.491,778.8,5.47,774.0,84.66,58.4,6366.0,4.045,1.697,1
CONFIRMED,12.30971679,6.74,396.0,3.82,1104.0,350.46,45.9,6366.0,4.045,1.697,1
CONFIRMED,54.4205407,8.559,598.0,3.2,574.0,25.6,44.9,6781.0,4.422,1.067,1
FALSE POSITIVE,14.32407216,4.6577,2053.9,38.86,782.0,88.38,58.0,6022.0,4.453,1.039,0
CONFIRMED,27.07237655,6.9592,514.2,2.18,605.0,31.58,44.0,5936.0,4.501,0.965,1
CONFIRMED,37.5142128,5.303,935.0,2.68,478.0,12.38,28.9,5291.0,4.489,0.882,1
CONFIRMED,55.6391882,7.316,853.0,3.13,478.0,12.33,48.3,5949.0,4.493,0.962,1
CONFIRMED,46.6856205,6.3794,588.8,2.52,513.0,16.41,59.0,5657.0,4.364,1.046,1
CONFIRMED,4.59726613,2.909,313.0,1.69,1105.0,352.4,17.0,5999.0,4.494,0.959,1
CONFIRMED,9.97716876,5.908,252.9,2.53,1028.0,263.89,21.8,5557.0,4.037,1.616,1
CONFIRMED,3.02168007,2.8264,171.9,1.31,1332.0,744.35,32.9,6201.0,4.472,0.989,1
FALSE POSITIVE,30.882538697,5.3737,24012.0,15.4,593.0,29.12,1266.2,6014.0,4.486,0.993,0
FALSE POSITIVE,72.4914068,3.612,1063.5,15.33,700.0,56.76,39.2,5754.0,3.639,2.758,0
FALSE POSITIVE,4.93913074,1.362,382.9,24.03,1182.0,461.47,22.0,5956.0,4.324,1.17,0
CONFIRMED,2.240486703,1.3988,436.3,1.22,837.0,115.98,33.8,4198.0,4.689,0.574,1
CONFIRMED,105.0145774,7.426,296.0,2.29,406.0,6.44,33.9,5868.0,4.363,1.042,1
CONFIRMED,4.88084456,2.5574,343.0,1.55,879.0,141.0,32.6,4929.0,4.481,0.861,1
CONFIRMED,10.56137217,3.2645,238.4,2.43,867.0,133.56,21.7,5610.0,4.316,1.171,1
CONFIRMED,67.6690554,9.556,961.1,3.39,495.0,14.24,37.2,6127.0,4.356,1.08,1
CONFIRMED,3.949627144,1.5485,807.2,2.32,966.0,206.05,45.1,5155.0,4.523,0.836,1
CONFIRMED,16.00460392,3.9475,831.9,2.24,583.0,27.41,34.3,5180.0,4.597,0.769,1
FALSE POSITIVE,3.55650737,8.545,293.6,3.05,1405.0,918.25,77.1,4951.0,3.876,1.843,0
CONFIRMED,3.148661555,2.1978,550.5,2.15,1097.0,342.76,35.3,5258.0,4.458,0.873,1
FALSE POSITIVE,0.70544824,2.9423,462.4,20.03,1868.0,2899.07,118.2,5717.0,4.564,0.826,0
CONFIRMED,3.295701024,1.8268,1745.7,2.81,875.0,138.38,114.7,4723.0,4.628,0.691,1
CONFIRMED,9.65349016,2.9029,1308.6,2.41,611.0,32.98,63.1,4723.0,4.628,0.691,1
CONFIRMED,5.315954488,1.1165,965.9,2.33,746.0,73.19,37.7,4723.0,4.628,0.691,1
CONFIRMED,10.04556377,3.2027,671.4,2.19,766.0,81.61,66.5,5632.0,4.554,0.853,1
CONFIRMED,1.499144441,1.4259,258.9,1.09,1137.0,395.06,22.2,4723.0,4.628,0.691,1
CONFIRMED,5.082748362,1.7732,276.7,1.4,928.0,175.06,40.9,5430.0,4.555,0.858,1
FALSE POSITIVE,5.00673576,1.9398,191.2,2.0,1324.0,726.94,26.6,6116.0,4.158,1.383,0
CONFIRMED,9.17617167,4.2642,206.9,1.66,960.0,200.99,34.3,5903.0,4.3,1.156,1
CONFIRMED,19.7383992,4.894,168.1,1.61,744.0,72.32,20.3,5903.0,4.3,1.156,1
CONFIRMED,41.6980186,5.7047,440.8,2.03,537.0,19.61,43.4,5997.0,4.466,0.971,1
CONFIRMED,59.6585348,5.514,1043.8,3.59,393.0,5.66,21.2,5243.0,4.547,0.831,1
CONFIRMED,52.6298542,6.118,675.8,3.68,544.0,20.65,27.2,5339.0,4.096,1.433,1
CONFIRMED,10.290994129,4.28889,9655.7,13.43,996.0,233.08,1245.7,5803.0,4.134,1.373,1
CONFIRMED,14.8783945,7.491,322.8,1.63,692.0,54.19,22.9,5822.0,4.557,0.837,1
CONFIRMED,59.6222627,6.888,993.4,3.63,486.0,13.23,31.9,6108.0,4.471,0.997,1
FALSE POSITIVE,4.9883873,9.059,507.6,3.28,1236.0,550.52,42.4,6418.0,4.395,1.171,0
CONFIRMED,8.19596647,2.824,792.8,2.04,672.0,48.2,20.2,4723.0,4.557,0.747,1
CONFIRMED,15.59466045,5.0478,867.7,2.74,718.0,62.88,49.2,5900.0,4.5,0.929,1
CONFIRMED,56.35407916,3.4449,1037.0,2.59,352.0,3.63,59.4,4802.0,4.582,0.701,1
FALSE POSITIVE,36.12895451,2.2348,3758.6,53.72,546.0,21.05,66.3,5921.0,4.484,0.912,0
FALSE POSITIVE,32.50456309,2.4657,7589.6,10.68,591.0,28.8,148.1,6132.0,4.479,0.947,0
FALSE POSITIVE,1.332560589,4.2427,566.6,1.4,1086.0,330.32,108.8,4489.0,4.662,0.609,0
FALSE POSITIVE,9.08590495,2.0718,2121.3,6.28,861.0,130.1,50.5,5931.0,4.479,0.866,0
FALSE POSITIVE,0.784512952,2.4623,586.0,25.48,1952.0,3432.93,44.4,5997.0,4.522,0.904,0
FALSE POSITIVE,0.883778461,1.6339,120.1,1.09,1934.0,3316.4,31.7,5975.0,4.453,0.949,0
CONFIRMED,2.465024332,1.262,30.7,0.69,1561.0,1406.11,23.2,6139.0,4.291,1.194,1
CONFIRMED,15.86624787,4.25,77.3,1.31,879.0,141.18,28.4,6099.0,4.193,1.308,1
FALSE POSITIVE,4.288515468,2.2959,3456.7,76.51,1722.0,2081.57,292.1,6378.0,3.878,2.002,0
CONFIRMED,3.797018259,2.2608,14431.2,10.07,982.0,219.64,1549.0,5167.0,4.527,0.848,1
CONFIRMED,1.340596782,1.6484,107.5,1.16,1783.0,2393.35,37.6,5992.0,4.385,1.125,1
CONFIRMED,17.42393582,4.929,770.9,3.29,722.0,64.13,33.2,6018.0,4.46,0.969,1
CONFIRMED,9.8786461,1.8915,1472.7,1.6,393.0,5.65,49.2,3609.0,4.843,0.422,1
CONFIRMED,44.96407458,4.981,811.6,2.0,379.0,4.89,88.0,4827.0,4.615,0.729,1
CONFIRMED,49.7700907,10.065,3529.2,5.12,455.0,10.16,109.8,5774.0,4.567,0.818,1
FALSE POSITIVE,12.7319385,4.4157,11449.0,70.11,1145.0,405.75,69.9,7238.0,4.221,1.568,0
FALSE POSITIVE,0.520222869,1.2216,269.5,1.52,2145.0,5038.49,28.9,5776.0,4.527,0.889,0
CONFIRMED,5.83376197,3.9988,532.9,2.98,1143.0,403.49,36.6,6213.0,4.387,1.195,1
CONFIRMED,2.42150341,2.965,171.5,1.62,1532.0,1305.04,15.8,6213.0,4.387,1.195,1
CONFIRMED,14.16400071,4.3031,728.1,2.35,694.0,54.95,71.5,5440.0,4.438,0.885,1
CONFIRMED,6.20920207,2.637,101.9,0.89,914.0,164.98,12.1,5440.0,4.438,0.885,1
CONFIRMED,5.48711441,2.93,1328.6,3.24,836.0,115.29,51.9,5103.0,4.562,0.787,1
CONFIRMED,8.29084167,3.613,1033.9,3.21,728.0,66.47,34.7,5103.0,4.562,0.787,1
CONFIRMED,3.20539622,2.143,453.6,1.7,1000.0,236.11,20.6,5103.0,4.562,0.787,1
CONFIRMED,16.73869035,2.398,996.8,2.56,576.0,26.06,20.4,5103.0,4.562,0.787,1
FALSE POSITIVE,5.093938816,3.93144,25026.7,17.19,1137.0,395.38,1131.7,6197.0,4.449,1.035,0
CONFIRMED,13.93291548,2.6239,131.6,1.66,852.0,124.53,28.9,6026.0,4.321,1.207,1
CONFIRMED,2.36436762,3.372,28.4,0.82,1752.0,2228.09,12.4,6250.0,4.184,1.543,1
CONFIRMED,20.31047472,5.3357,164.6,2.41,931.0,177.81,46.1,6065.0,3.97,1.877,1
CONFIRMED,2.53475568,4.5716,463.0,2.02,1218.0,519.95,51.3,5662.0,4.532,0.806,1
CONFIRMED,43.3167427,4.995,987.5,2.42,459.0,10.47,27.1,5654.0,4.59,0.774,1
FALSE POSITIVE,37.590298548,4.3855,19938.9,14.39,573.0,25.53,929.0,6147.0,4.463,1.003,0
CONFIRMED,31.0033072,5.253,645.2,2.72,616.0,34.03,22.1,6090.0,4.447,1.071,1
FALSE POSITIVE,3.351556891,2.4005,341.9,1.64,1074.0,314.73,38.8,5185.0,4.442,0.911,0
CONFIRMED,2.617028373,2.046,499.4,1.57,996.0,233.23,30.8,4831.0,4.568,0.724,1
FALSE POSITIVE,1.876406096,1.531,433.8,1.57,1192.0,476.68,37.0,5198.0,4.6,0.759,0
FALSE POSITIVE,6.71425632,3.339,283.5,5.76,1565.0,1416.6,46.5,6093.0,3.737,2.623,0
CONFIRMED,150.2412582,10.849,2378.5,4.6,327.0,2.72,72.3,5604.0,4.451,0.943,1
CONFIRMED,53.44944498,5.3091,3437.0,5.82,486.0,13.23,119.5,5919.0,4.485,1.0,1
FALSE POSITIVE,0.466743525,1.3956,796.1,20.43,2197.0,5480.92,103.6,5791.0,4.549,0.856,0
FALSE POSITIVE,1.727177258,2.081,347.4,1.42,1250.0,576.55,17.1,5394.0,4.622,0.72,0
CONFIRMED,7.24022418,2.9153,864.9,2.14,716.0,62.1,48.2,4955.0,4.61,0.721,1
CONFIRMED,4.64622383,2.5137,446.5,1.82,830.0,112.18,28.2,4955.0,4.61,0.721,1
CONFIRMED,10.29674097,2.7292,1011.8,5.75,1129.0,384.86,31.3,6068.0,4.04,1.797,1
CONFIRMED,5.93919041,2.285,424.5,3.7,1357.0,801.92,15.9,6068.0,4.04,1.797,1
CONFIRMED,19.74733983,3.4444,480.7,2.62,754.0,76.57,47.1,6243.0,4.406,1.149,1
CONFIRMED,30.360445359,6.0134,21124.7,10.99,459.0,10.47,1126.2,4939.0,4.541,0.765,1
CONFIRMED,4.4096675,2.1418,132.7,1.51,1192.0,476.94,26.4,5836.0,4.347,1.166,1
CONFIRMED,4.16787814,2.2136,168.1,1.07,962.0,202.48,32.9,5251.0,4.541,0.847,1
CONFIRMED,11.79161234,3.036,415.4,2.41,857.0,127.75,20.7,5619.0,4.264,1.199,1
FALSE POSITIVE,20.55848388,1.449,677.3,36.9,624.0,35.76,20.8,5578.0,4.484,0.936,0
CONFIRMED,26.964501,3.792,601.7,2.2,573.0,25.56,20.1,5754.0,4.534,0.905,1
CONFIRMED,7.76845639,3.689,217.8,1.35,841.0,118.09,23.6,5447.0,4.481,0.917,1
FALSE POSITIVE,2.178154348,3.4874,428.6,22.22,1392.0,886.88,93.0,5947.0,4.482,0.881,0
CONFIRMED,5.03257009,4.213,439.1,2.53,1047.0,283.49,26.3,5970.0,4.521,0.908,1
CONFIRMED,40.4286676,7.102,916.1,2.92,494.0,14.08,40.9,5813.0,4.561,0.833,1
CONFIRMED,21.3588236,5.823,640.1,2.52,691.0,53.89,33.2,6170.0,4.472,0.992,1
CONFIRMED,22.0459163,5.22,804.8,3.05,640.0,39.69,29.7,5900.0,4.509,0.951,1
FALSE POSITIVE,49.6456235,23.568,857.5,43.41,648.0,41.57,176.5,6273.0,4.129,1.493,0
CONFIRMED,17.32670445,4.269,800.0,2.23,535.0,19.38,34.8,4955.0,4.61,0.721,1
CONFIRMED,44.8411168,5.902,1051.6,2.75,390.0,5.45,28.9,4955.0,4.61,0.721,1
FALSE POSITIVE,1.008917105,1.4577,338.5,1.51,1636.0,1698.88,34.2,5708.0,4.578,0.795,0
CONFIRMED,13.75207851,2.8831,1215.6,2.81,556.0,22.57,36.8,4802.0,4.616,0.699,1
CONFIRMED,6.33855946,3.4617,721.7,3.31,1034.0,270.47,57.4,6108.0,4.466,1.03,1
CONFIRMED,4.59489816,3.1381,109.7,1.85,1319.0,716.65,27.7,6056.0,4.217,1.381,1
CONFIRMED,32.2964275,4.561,472.2,1.9,503.0,15.14,17.9,5246.0,4.47,0.891,1
CONFIRMED,2.97041801,2.2369,530.7,1.7,991.0,228.11,22.4,5068.0,4.608,0.743,1
FALSE POSITIVE,6.814984472,3.05409,23915.3,14.18,836.0,115.58,742.2,5465.0,4.566,0.817,0
FALSE POSITIVE,63.9354965,13.321,1250.6,2637.6,2590.0,10631.01,57.6,3626.0,0.684,97.41,0
CONFIRMED,7.891448838,4.2854,10344.6,12.63,1028.0,263.54,1955.1,5972.0,4.313,1.237,1
CONFIRMED,2.578852119,2.3581,334.3,1.63,1230.0,540.56,36.7,5743.0,4.553,0.853,1
FALSE POSITIVE,9.04189129,2.789,783.4,3.24,729.0,66.83,34.5,5237.0,4.572,0.826,0
CONFIRMED,30.22910274,6.6751,443.4,3.49,755.0,76.88,71.7,6325.0,4.188,1.518,1
FALSE POSITIVE,0.798200403,1.8261,396.8,24.03,2128.0,4875.01,65.9,6258.0,4.449,1.031,0
FALSE POSITIVE,3.479425638,3.4479,19550.0,12.86,1166.0,435.85,123.3,5907.0,4.519,0.878,0
FALSE POSITIVE,2.92878704,4.634,549.4,22.76,1239.0,556.77,47.7,5955.0,4.534,0.883,0
CONFIRMED,9.80321143,4.4617,813.4,2.99,896.0,152.12,53.1,6170.0,4.472,0.992,1
CONFIRMED,24.81097206,3.2245,2090.8,4.22,631.0,37.43,123.9,6086.0,4.511,0.921,1
CONFIRMED,4.8538404,3.198,196.4,1.72,1052.0,288.7,15.4,5778.0,4.483,0.968,1
CONFIRMED,11.04605365,4.799,308.3,1.8,869.0,134.66,24.3,6093.0,4.429,1.025,1
FALSE POSITIVE,2.621706694,1.941,4572.0,34.68,1288.0,648.75,24.3,5749.0,4.436,0.881,0
CONFIRMED,3.72020708,1.892,156.9,0.99,954.0,195.7,15.0,5017.0,4.516,0.797,1
FALSE POSITIVE,12.264867364,4.7366,11310.9,28.29,1077.0,317.89,560.2,5372.0,3.81,2.344,0
CONFIRMED,8.689301216,2.563,1117.0,2.92,782.0,88.24,70.9,5211.0,4.447,0.895,1
CONFIRMED,20.99757968,2.454,1131.8,2.97,582.0,27.2,44.7,5211.0,4.447,0.895,1
FALSE POSITIVE,0.979442525,1.0348,469.3,1.64,1567.0,1420.01,27.0,5532.0,4.607,0.745,0
CONFIRMED,3.120828136,2.1878,16456.0,14.16,1303.0,680.79,113.5,6122.0,4.471,0.996,1
CONFIRMED,15.13590453,2.236,255.7,2.57,933.0,179.16,19.8,6050.0,4.137,1.572,1
FALSE POSITIVE,1.399326503,1.8305,206.4,1.0,1143.0,402.58,22.7,4502.0,4.572,0.728,0
CONFIRMED,1.937029968,1.4727,312.3,0.87,802.0,97.94,42.8,4042.0,4.761,0.49,1
CONFIRMED,7.06117322,1.0406,481.7,1.23,521.0,17.41,27.2,4042.0,4.761,0.49,1
CONFIRMED,20.55331441,5.3136,678.3,3.19,749.0,74.49,40.6,6325.0,4.409,1.112,1
CONFIRMED,40.0686713,5.8875,970.9,3.1,560.0,23.27,62.0,6026.0,4.411,0.992,1
CONFIRMED,114.73658,12.0355,4850.0,12.28,476.0,12.13,230.6,5597.0,3.963,1.699,1
CONFIRMED,191.239133,16.942,1061.2,6.47,401.0,6.14,36.8,5597.0,3.963,1.699,1
FALSE POSITIVE,24.3282251,6.158,1120.6,294.02,520.0,17.33,26.4,5286.0,4.59,0.78,0
CONFIRMED,10.41572666,2.7719,825.3,3.01,797.0,95.64,69.3,5511.0,4.426,0.987,1
CONFIRMED,14.97031664,5.884,290.5,2.53,883.0,143.33,28.9,5726.0,4.123,1.483,1
CONFIRMED,32.2753853,8.622,223.9,2.31,683.0,51.5,17.9,5726.0,4.123,1.483,1
CONFIRMED,38.3262237,3.073,392.1,2.43,480.0,12.56,15.0,5229.0,4.441,0.903,1
CONFIRMED,4.04355245,1.965,416.2,1.75,613.0,33.34,21.2,3871.0,4.744,0.532,1
CONFIRMED,5.52418625,2.826,491.0,2.25,976.0,214.86,20.7,5334.0,4.372,1.004,1
CONFIRMED,8.77514782,3.176,351.9,1.91,837.0,115.84,12.7,5334.0,4.372,1.004,1
FALSE POSITIVE,10.12742274,1.2762,933.5,3.8,969.0,208.77,19.5,6392.0,4.399,1.162,0
FALSE POSITIVE,0.870693883,1.2137,438.5,2.09,1876.0,2923.54,55.6,5985.0,4.519,0.883,0
CONFIRMED,27.5071114,5.907,580.7,2.58,569.0,24.71,30.7,5783.0,4.539,0.88,1
CONFIRMED,5.1443645,2.703,310.7,1.55,923.0,171.63,20.2,5157.0,4.445,0.904,1
CONFIRMED,18.45848388,3.3703,535.3,2.5,632.0,37.81,41.5,5311.0,4.419,0.948,1
CONFIRMED,25.9421582,4.045,569.7,1.95,501.0,14.85,31.6,5167.0,4.585,0.796,1
CONFIRMED,21.06075303,5.2472,301.2,1.78,669.0,47.39,54.4,5706.0,4.382,1.034,1
CONFIRMED,13.08424286,3.0401,662.0,2.71,739.0,70.51,51.2,5511.0,4.426,0.987,1
