koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,label
CONFIRMED,4.125543472,3.1744,1487.3,4.43,1243.0,565.35,128.6,6174.0,4.417,1.103,1
CONFIRMED,2.816504904,2.50587,16813.7,12.21,1219.0,521.13,1406.8,5532.0,4.452,0.955,1
FALSE POSITIVE,33.93373447,14.561,8503.7,7.34,430.0,8.11,236.1,5040.0,4.628,0.705,0
CONFIRMED,3.689920099,2.6557,426.7,1.89,1147.0,408.99,35.6,5880.0,4.518,0.917,1
CONFIRMED,4.431238488,3.15,1010.9,3.25,1104.0,351.23,71.1,5714.0,4.428,1.015,1
CONFIRMED,11.37936986,2.6255,1023.5,3.95,806.0,99.68,37.9,5714.0,4.428,1.015,1
CONFIRMED,26.39432897,3.573,1510.9,3.07,489.0,13.49,48.2,5129.0,4.595,0.763,1
CONFIRMED,13.57078281,3.3539,511.7,2.64,785.0,89.61,88.4,5854.0,4.406,1.012,1
CONFIRMED,7.12594387,3.0014,192.4,1.79,997.0,233.31,47.1,5779.0,4.339,1.087,1
FALSE POSITIVE,7.442652004,2.3078,24446.2,15.03,967.0,206.78,835.6,6108.0,4.469,0.956,0
CONFIRMED,16.38489988,3.0249,1127.1,2.0,433.0,8.35,28.9,4126.0,4.661,0.615,1
CONFIRMED,7.8774163,2.0805,1306.1,2.16,553.0,22.18,38.7,4126.0,4.661,0.615,1
CONFIRMED,36.4454001,4.007,1122.3,1.99,332.0,2.88,21.7,4126.0,4.661,0.615,1
CONFIRMED,3.728732147,2.683,5226.5,6.02,1023.0,258.34,345.2,5497.0,4.577,0.809,1
CONFIRMED,2.243380573,1.1196,821.7,1.99,822.0,107.6,38.9,4149.0,4.698,0.564,1
FALSE POSITIVE,10.405998015,6.5036,14488.8,11.23,833.0,113.94,745.2,5746.0,4.393,0.924,0
CONFIRMED,2.337437946,1.9982,971.2,2.34,1070.0,311.16,82.4,5005.0,4.595,0.765,1
CONFIRMED,11.59822233,2.5237,2804.5,2.65,396.0,5.82,71.0,3688.0,4.79,0.473,1
CONFIRMED,6.575315881,4.3084,2793.3,5.31,1015.0,251.38,221.1,5992.0,4.415,0.989,1
CONFIRMED,7.275040844,7.5377,3001.0,4.86,833.0,113.64,312.1,5485.0,4.556,0.867,1
CONFIRMED,19.27153892,2.7594,1219.8,1.93,393.0,5.66,37.1,4077.0,4.702,0.56,1
CONFIRMED,10.06524317,1.369,1053.3,1.91,488.0,13.43,30.3,4077.0,4.702,0.56,1
CONFIRMED,12.3935651,3.8896,916.6,2.66,677.0,49.68,35.8,5557.0,4.603,0.75,1
CONFIRMED,43.84439721,6.802,615.2,2.87,531.0,18.77,83.7,5854.0,4.406,1.012,1
FALSE POSITIVE,3.341913228,3.813,725.3,21.55,1032.0,268.67,39.0,5295.0,4.551,0.811,0
FALSE POSITIVE,1.626630225,2.1145,1620.6,32.43,1547.0,1355.88,103.6,5735.0,4.41,0.973,0
CONFIRMED,2.711504086,3.0099,837.5,3.12,1420.0,960.79,64.5,6214.0,4.442,1.076,1
CONFIRMED,7.21203748,4.0491,950.4,3.32,1025.0,260.58,51.5,6214.0,4.442,1.076,1
FALSE POSITIVE,14.1798187,2.505,459.9,1.88,711.0,60.35,11.2,5799.0,4.539,0.878,0
CONFIRMED,8.47237911,2.7245,1123.5,2.59,751.0,75.44,47.6,5354.0,4.587,0.788,1
CONFIRMED,60.4189369,5.039,931.3,2.36,390.0,5.49,20.1,5354.0,4.587,0.788,1
CONFIRMED,12.611904345,5.1497,6105.6,7.4,753.0,76.15,277.2,5795.0,4.508,0.919,1
FALSE POSITIVE,1.433769925,1.8868,1976.3,46.58,1920.0,3209.29,112.6,6017.0,4.22,1.339,0
FALSE POSITIVE,10.31872301,3.836,871.7,28.59,876.0,139.26,38.2,5927.0,4.409,1.06,0
CONFIRMED,2.539183147,2.4282,382.1,2.06,1332.0,743.09,38.9,5519.0,4.35,1.062,1
CONFIRMED,6.770300385,2.0844,1304.0,2.77,812.0,102.87,50.8,5653.0,4.656,0.679,1
FALSE POSITIVE,0.444291966,2.0792,10967.4,27.51,1836.0,2706.26,299.7,5255.0,4.678,0.636,0
CONFIRMED,20.06036336,3.3203,1494.7,1.96,361.0,4.0,35.2,3950.0,4.754,0.493,1
CONFIRMED,46.1842039,4.758,1394.7,1.83,273.0,1.32,26.0,3950.0,4.754,0.493,1
CONFIRMED,23.9800854,5.351,104.0,1.31,649.0,41.94,17.1,5854.0,4.406,1.012,1
CONFIRMED,7.82502168,2.186,520.8,1.2,494.0,14.05,15.9,3950.0,4.754,0.493,1
CONFIRMED,3.895936525,2.3111,8544.8,7.34,1005.0,241.62,370.8,5557.0,4.592,0.774,1
CONFIRMED,22.36646466,5.228,986.8,2.32,536.0,19.45,32.1,5395.0,4.615,0.734,1
CONFIRMED,1.625522174,2.38963,7969.0,9.73,1579.0,1467.41,799.7,5539.0,4.322,1.106,1
FALSE POSITIVE,7.544039,6.222,322.6,17.47,838.0,116.46,14.2,5657.0,4.567,0.824,0
CONFIRMED,9.02930689,3.1449,1019.8,2.57,757.0,77.75,53.9,5349.0,4.526,0.82,1
FALSE POSITIVE,10.328035714,7.7915,16917.7,13.28,843.0,119.31,636.8,5627.0,4.359,1.024,0
CONFIRMED,143.2063047,8.9302,10565.7,8.9,308.0,2.14,138.8,5485.0,4.556,0.867,1
CONFIRMED,6.164876,3.262,55.8,0.79,1021.0,256.35,14.4,5854.0,4.406,1.012,1
CONFIRMED,60.32494216,6.6188,20280.4,12.19,411.0,6.77,347.2,5485.0,4.556,0.867,1
CONFIRMED,29.1598615,4.803,488.0,1.91,524.0,17.85,11.6,5485.0,4.556,0.867,1
FALSE POSITIVE,1.540397253,2.1541,816.1,25.69,1470.0,1105.68,38.8,5663.0,4.53,0.915,0
FALSE POSITIVE,2.99025443,5.414,589.2,1.7,918.0,168.45,48.5,4667.0,4.578,0.731,0
CONFIRMED,1.594745374,1.9604,15044.5,11.3,1539.0,1329.42,1009.3,5934.0,4.491,0.893,1
CONFIRMED,4.783002698,2.335,1008.7,2.5,886.0,145.48,70.6,5170.0,4.574,0.807,1
CONFIRMED,20.50588921,4.0595,2105.5,3.41,518.0,17.06,78.5,4905.0,4.544,0.761,1
CONFIRMED,3.340218842,1.9104,1632.6,2.03,656.0,43.73,71.6,3950.0,4.754,0.493,1
FALSE POSITIVE,2.507089906,2.0067,1339.2,30.26,1326.0,730.47,64.9,5926.0,4.506,0.939,0
CONFIRMED,18.64932728,4.4056,893.6,3.12,701.0,57.13,46.1,5775.0,4.405,1.053,1
CONFIRMED,4.90144976,4.1654,140.7,1.7,1262.0,598.74,50.6,5847.0,4.191,1.402,1
CONFIRMED,9.75192101,4.793,418.0,2.76,870.0,135.66,28.5,5775.0,4.405,1.053,1
CONFIRMED,38.5576546,5.794,993.0,4.02,550.0,21.71,39.7,5775.0,4.405,1.053,1
CONFIRMED,3.525632539,2.59959,22335.0,11.58,975.0,213.12,1996.7,5150.0,4.572,0.793,1
CONFIRMED,7.748094239,3.5957,2472.1,5.52,964.0,204.39,113.2,5973.0,4.439,1.085,1
CONFIRMED,23.96793669,3.827,1182.3,1.8,329.0,2.77,27.5,3747.0,4.728,0.524,1
CONFIRMED,8.29561738,1.3421,824.3,1.82,469.0,11.39,17.9,3747.0,4.728,0.524,1
CONFIRMED,8.11437482,2.2736,1558.0,2.1,460.0,10.55,56.4,3692.0,4.753,0.517,1
FALSE POSITIVE,38.036729482,4.34617,82871.6,27.5,500.0,14.81,1300.0,5575.0,4.521,0.932,0
FALSE POSITIVE,3.747838198,5.0642,616.0,13.65,1031.0,266.76,138.2,5514.0,4.569,0.826,0
CONFIRMED,14.74914825,6.0995,430.2,2.89,874.0,137.91,107.4,5847.0,4.191,1.402,1
CONFIRMED,21.81295996,4.3791,1175.4,3.38,639.0,39.33,37.8,5601.0,4.41,0.999,1
FALSE POSITIVE,7.91936937,3.3148,15148.1,10.34,814.0,104.0,389.0,5690.0,4.588,0.776,0
CONFIRMED,15.37562369,3.3169,15337.0,11.01,600.0,30.54,166.0,4986.0,4.496,0.833,1
CONFIRMED,8.10363271,3.161,887.9,2.11,687.0,52.82,39.3,4861.0,4.574,0.732,1
CONFIRMED,4.71510843,2.506,417.5,1.46,823.0,108.84,21.3,4861.0,4.574,0.732,1
CONFIRMED,6.365839713,2.9721,780.7,2.44,914.0,165.33,70.8,5776.0,4.554,0.849,1
FALSE POSITIVE,5.97581754,3.065,962.4,3.86,1047.0,284.25,50.3,6108.0,4.471,0.997,0
FALSE POSITIVE,2.446737317,4.7211,1177.9,26.25,1261.0,597.19,110.2,5764.0,4.548,0.863,0
CONFIRMED,3.04033046,1.8411,10858.8,8.99,1021.0,257.29,568.2,5035.0,4.519,0.791,1
CONFIRMED,15.33528675,3.897,3081.4,5.0,610.0,32.67,86.6,5251.0,4.581,0.817,1
CONFIRMED,7.95825328,4.377,50.0,1.06,1074.0,314.15,14.7,5847.0,4.191,1.402,1
CONFIRMED,31.33046135,5.176,5073.8,6.5,481.0,12.61,117.2,5251.0,4.581,0.817,1
FALSE POSITIVE,3.9043425,3.831,16228.4,12.28,1104.0,351.05,323.4,5810.0,4.526,0.898,0
FALSE POSITIVE,9.286358079,3.49949,44791.4,17.61,796.0,95.03,1671.1,5670.0,4.523,0.821,0
FALSE POSITIVE,3.951405455,2.1862,2453.9,31.44,1133.0,388.71,117.2,6046.0,4.539,0.869,0
CONFIRMED,23.65369415,8.2183,3341.8,7.89,731.0,67.65,266.3,5739.0,4.191,1.384,1
CONFIRMED,13.23352214,6.7372,504.6,3.06,888.0,146.67,49.1,5739.0,4.191,1.384,1
CONFIRMED,6.15560285,4.9843,285.0,2.32,1146.0,406.94,35.1,5739.0,4.191,1.384,1
CONFIRMED,2.090811305,3.388,115.9,1.62,1642.0,1718.04,19.9,5739.0,4.191,1.384,1
CONFIRMED,3.180027898,3.5797,120.3,1.53,1458.0,1066.86,50.4,5847.0,4.191,1.402,1
CONFIRMED,50.4467417,7.159,370.3,2.67,568.0,24.64,19.4,5739.0,4.191,1.384,1
CONFIRMED,11.76307164,2.9076,1037.3,2.35,616.0,33.99,48.9,4959.0,4.603,0.756,1
CONFIRMED,56.2279271,3.57,862.7,2.37,366.0,4.22,20.9,4959.0,4.603,0.756,1
FALSE POSITIVE,2.384052875,3.0918,1268.1,17.06,1010.0,244.87,50.5,4794.0,4.58,0.701,0
CONFIRMED,7.953547,2.6312,875.4,2.25,696.0,55.37,38.4,4768.0,4.536,0.779,1
CONFIRMED,4.14451656,2.3421,391.8,1.48,864.0,132.08,22.8,4768.0,4.536,0.779,1
FALSE POSITIVE,4.859386384,2.2757,6044.3,38.33,1114.0,364.23,269.7,6072.0,4.47,0.988,0
CONFIRMED,10.526294577,2.5211,9768.0,8.24,713.0,61.16,482.3,5386.0,4.553,0.793,1
CONFIRMED,4.583520948,2.7055,3812.1,5.39,1038.0,274.98,99.5,5815.0,4.54,0.877,1
CONFIRMED,3.76181843,3.5176,510.6,2.66,1121.0,372.62,35.9,5653.0,4.472,0.949,1
CONFIRMED,8.20396958,2.9667,1024.4,3.01,742.0,71.5,54.4,5015.0,4.499,0.826,1
CONFIRMED,14.49645186,4.016,647.5,3.01,613.0,33.48,25.7,5015.0,4.499,0.826,1
CONFIRMED,6.54626149,2.75,655.9,2.19,810.0,101.78,24.8,5251.0,4.581,0.817,1
CONFIRMED,12.71809866,3.0957,1149.4,2.31,562.0,23.6,52.7,4702.0,4.592,0.686,1
CONFIRMED,36.06588163,4.3246,1563.8,2.64,397.0,5.88,51.7,4702.0,4.592,0.686,1
CONFIRMED,4.190425659,2.8589,2877.4,6.21,1234.0,547.9,240.6,6073.0,4.392,1.135,1
CONFIRMED,3.709870784,3.0694,2020.3,4.35,1151.0,415.1,116.1,5727.0,4.463,0.978,1
CONFIRMED,16.3297527,6.271,1187.5,3.75,727.0,66.08,74.6,5878.0,4.444,0.987,1
CONFIRMED,27.807566216,4.21587,25391.1,13.84,554.0,22.24,748.1,5862.0,4.584,0.785,1
CONFIRMED,80.8723469,11.195,3604.6,7.59,452.0,9.88,160.9,5510.0,4.222,1.238,1
FALSE POSITIVE,3.166465862,2.9381,4357.2,26.82,954.0,196.31,122.1,4968.0,4.575,0.704,0
CONFIRMED,24.99324319,5.9409,269.6,2.29,712.0,60.88,62.0,5718.0,4.181,1.317,1
CONFIRMED,10.35533116,3.1775,750.6,2.47,777.0,86.22,49.2,5501.0,4.462,0.918,1
CONFIRMED,16.08518937,3.984,1442.4,3.68,613.0,33.43,62.6,5239.0,4.523,0.826,1
CONFIRMED,7.49018305,2.7297,1123.6,2.56,753.0,76.06,53.0,5103.0,4.562,0.787,1
CONFIRMED,36.2761238,4.7865,1572.6,3.03,445.0,9.29,45.5,5103.0,4.562,0.787,1
CONFIRMED,17.46087931,2.2641,812.4,2.32,568.0,24.6,22.6,5103.0,4.562,0.787,1
CONFIRMED,56.0560754,4.685,1626.0,1.94,233.0,0.69,27.4,3593.0,4.757,0.491,1
CONFIRMED,41.408316686,5.0264,22838.9,11.38,453.0,9.93,907.8,5522.0,4.586,0.747,1
CONFIRMED,5.715425977,2.5242,908.1,2.47,850.0,123.03,59.4,5237.0,4.572,0.826,1
CONFIRMED,49.18394185,11.3364,1646.2,8.2,669.0,47.4,355.7,5626.0,3.907,2.057,1
CONFIRMED,20.0261412,1.611,421.2,2.28,559.0,23.14,10.7,5237.0,4.572,0.826,1
FALSE POSITIVE,10.44331991,2.743,1159.8,2.66,667.0,46.94,51.7,4947.0,4.516,0.802,0
CONFIRMED,2.237489571,1.8119,315.8,1.41,1160.0,427.17,30.7,5265.0,4.58,0.81,1
FALSE POSITIVE,5.851520671,3.11058,33003.6,14.62,901.0,155.89,1630.4,5532.0,4.53,0.806,0
CONFIRMED,3.167893418,2.1814,781.2,2.62,1221.0,526.23,64.8,5895.0,4.503,0.94,1
CONFIRMED,4.311780262,2.7251,1154.0,3.11,1038.0,274.84,86.1,5527.0,4.484,0.927,1
CONFIRMED,20.0504494,4.556,840.9,2.69,622.0,35.44,37.8,5527.0,4.484,0.927,1
CONFIRMED,9.76734503,1.6585,569.1,2.67,791.0,92.46,21.1,5527.0,4.484,0.927,1
CONFIRMED,190.3200468,15.284,1141.7,7.78,426.0,7.8,139.3,5626.0,3.907,2.057,1
FALSE POSITIVE,2.861159894,1.8832,1014.3,4.37,1355.0,797.1,58.3,6126.0,4.458,1.021,0
CONFIRMED,26.44439337,3.9783,1843.5,3.91,562.0,23.54,88.0,5427.0,4.463,0.929,1
CONFIRMED,51.53997972,6.3994,3644.3,5.51,450.0,9.67,155.5,5427.0,4.463,0.929,1
CONFIRMED,5.902245782,2.9003,702.3,2.43,926.0,173.74,59.3,5427.0,4.463,0.929,1
CONFIRMED,2.382951591,1.8876,391.6,1.86,1253.0,583.01,41.4,5427.0,4.463,0.929,1
CONFIRMED,21.02250608,4.1072,1772.5,3.07,521.0,17.48,62.4,5067.0,4.585,0.75,1
CONFIRMED,3.219814777,2.0642,488.2,1.69,998.0,234.93,30.5,5103.0,4.562,0.787,1
CONFIRMED,5.912273234,2.3254,961.4,1.73,585.0,27.72,62.8,4072.0,4.696,0.57,1
CONFIRMED,8.98581901,2.8606,881.3,1.65,509.0,15.9,51.8,4072.0,4.696,0.57,1
FALSE POSITIVE,20.5452375,2.517,218.5,2.41,742.0,71.57,18.5,5670.0,4.206,1.264,0
CONFIRMED,33.60123371,4.4056,7425.9,8.46,495.0,14.22,247.9,5149.0,4.447,0.93,1
CONFIRMED,6.76652928,2.9004,450.7,1.97,845.0,120.48,29.2,5149.0,4.447,0.93,1
CONFIRMED,4.347288783,2.1024,451.6,2.36,1174.0,449.79,39.7,5754.0,4.345,1.122,1
CONFIRMED,4.601811819,2.2607,755.9,2.35,896.0,152.91,60.8,4986.0,4.496,0.833,1
CONFIRMED,11.18719905,3.252,353.6,1.55,667.0,46.65,21.9,4986.0,4.496,0.833,1
CONFIRMED,4.220965778,3.0854,2260.0,2.62,595.0,29.68,157.8,3837.0,4.747,0.517,1
FALSE POSITIVE,6.998099523,2.0488,20285.0,588.66,853.0,125.22,192.3,5612.0,4.566,0.829,0
CONFIRMED,5.95489993,2.3892,1410.7,2.33,635.0,38.52,87.2,4261.0,4.641,0.633,1
CONFIRMED,12.03987488,2.7363,1250.6,2.18,502.0,15.06,57.6,4261.0,4.641,0.633,1
CONFIRMED,20.83762895,2.3734,439.0,1.42,418.0,7.24,14.9,4261.0,4.641,0.633,1
FALSE POSITIVE,8.8111022,5.0683,401.1,63.66,1399.0,904.92,76.8,6200.0,3.8,2.404,0
CONFIRMED,23.58917143,5.073,1200.7,3.16,487.0,13.34,53.3,4919.0,4.566,0.721,1
CONFIRMED,6.481633073,3.784,298.5,2.54,1145.0,406.25,125.6,5945.0,4.213,1.302,1
CONFIRMED,10.37168928,3.035,1254.9,3.2,720.0,63.68,64.5,5121.0,4.457,0.888,1
CONFIRMED,3.96996298,1.1757,299.2,1.78,992.0,229.37,15.0,5121.0,4.457,0.888,1
CONFIRMED,4.40841331,5.012,549.4,2.66,1139.0,398.0,45.1,6007.0,4.457,0.961,1
FALSE POSITIVE,7.9426176,6.703,1590.7,4.68,878.0,140.57,60.4,5811.0,4.521,0.926,0
CONFIRMED,226.8904775,7.558,3136.4,4.53,236.0,0.73,46.8,5067.0,4.585,0.75,1
FALSE POSITIVE,1.956811408,2.1958,24905.0,21.58,1109.0,357.16,125.4,5209.0,4.657,0.603,0
CONFIRMED,9.439459486,2.8979,3036.1,4.16,686.0,52.32,175.2,5097.0,4.597,0.779,1
CONFIRMED,11.523067458,3.8757,507.3,3.13,927.0,174.81,142.0,5644.0,4.162,1.411,1
CONFIRMED,20.47748843,2.8364,1382.4,2.92,530.0,18.65,52.7,5097.0,4.597,0.779,1
CONFIRMED,3.336123113,1.9616,516.3,1.74,970.0,209.79,41.6,5097.0,4.597,0.779,1
CONFIRMED,8.01078456,2.312,1333.6,1.72,453.0,9.9,48.5,3713.0,4.779,0.47,1
CONFIRMED,12.07134205,4.3224,759.2,1.29,395.0,5.74,31.0,3713.0,4.779,0.47,1
CONFIRMED,20.99587872,2.6333,767.3,1.3,328.0,2.74,18.2,3713.0,4.779,0.47,1
CONFIRMED,7.41113177,2.5242,620.5,2.45,905.0,158.11,50.4,5849.0,4.517,0.919,1
FALSE POSITIVE,1.000747038,0.9967,1823.5,4.14,1620.0,1635.2,147.4,5472.0,4.499,0.79,0
CONFIRMED,8.884922995,2.07004,16053.4,10.51,770.0,83.21,388.2,5332.0,4.5,0.843,1
CONFIRMED,8.09888906,4.20241,6911.1,8.95,986.0,223.19,435.9,6214.0,4.442,1.076,1
CONFIRMED,10.00653012,5.344,936.1,3.52,876.0,139.21,71.9,6063.0,4.47,1.001,1
CONFIRMED,17.855221681,7.41287,9065.2,13.16,911.0,163.04,915.7,6823.0,4.308,1.367,1
